Date,Close,High,Low,Open,Volume
2017-11-09,16.0245,16.1479,16.0245,16.1289,5033196
2017-11-10,16.053,16.053,15.939,16.0055,3692824
2017-11-13,16.0055,16.0245,15.9865,15.996,3917128
2017-11-14,15.977,16.0055,15.939,16.0055,4063196
2017-11-15,15.8156,15.9201,15.7872,15.9106,24280764
2017-11-16,15.8726,15.9011,15.7966,15.8156,8707248
2017-11-17,16.015,16.034,15.977,16.0055,28784476
2017-11-20,15.9485,16.034,15.9295,16.0245,9204096
2017-11-21,16.0909,16.1004,15.9295,15.9295,17878752
2017-11-22,16.1669,16.2523,16.1194,16.1669,19654892
2017-11-23,16.1764,16.2049,16.1289,16.1669,6208204
2017-11-24,16.1669,16.1954,16.1289,16.1859,4274136
2017-11-27,15.977,16.1669,15.9675,16.1669,8509216
2017-11-28,15.8726,15.9485,15.8536,15.939,8028492
2017-11-29,15.8916,15.939,15.8631,15.8821,5527436
2017-11-30,15.6163,15.7587,15.6163,15.7587,32153968
2017-12-01,15.6827,15.7397,15.5024,15.5973,22481288
2017-12-04,15.7397,15.7492,15.6353,15.6922,6014996
2017-12-05,15.6163,15.6922,15.6068,15.6732,7520528
2017-12-06,15.3505,15.5878,15.3505,15.5878,52941612
2017-12-07,15.36,15.4264,15.2745,15.4169,29236120
2017-12-08,15.36,15.4739,15.3125,15.4739,25120068
2017-12-11,15.4739,15.5024,15.4169,15.4169,10955980
2017-12-12,15.3694,15.4739,15.2935,15.4549,15762584
2017-12-13,15.3789,15.4169,15.36,15.3979,6707996
2017-12-14,15.5213,15.5688,15.4454,15.4834,8985120
2017-12-15,15.3979,15.5024,15.3125,15.5024,16308644
2017-12-18,15.4169,15.4264,15.3505,15.4169,15370456
2017-12-19,15.341,15.4549,15.322,15.4169,16380392
2017-12-20,15.3884,15.3979,15.3315,15.341,18609096
2017-12-21,15.3789,15.4454,15.3789,15.3979,4963292
2017-12-22,15.4359,15.4454,15.322,15.341,6579364
2017-12-25,15.4644,15.4834,15.4359,15.4359,4011732
2017-12-26,15.3125,15.4644,15.284,15.4644,10312784
2017-12-27,15.36,15.36,15.2935,15.303,14400572
2017-12-28,15.5118,15.5213,15.4264,15.4264,12379264
2017-12-29,15.5973,15.6068,15.5213,15.5213,18761184
2018-01-02,15.6827,15.6827,15.5973,15.5973,14452796
2018-01-03,15.8251,15.8441,15.7492,15.7492,28785748
2018-01-04,15.8536,15.8821,15.7966,15.8536,22510260
2018-01-05,15.9011,15.9106,15.8156,15.8536,30467184
2018-01-08,15.9675,15.977,15.8916,15.9106,20758444
2018-01-09,15.977,15.996,15.9295,15.9675,14658864
2018-01-10,15.9011,15.996,15.8631,15.9675,22998388
2018-01-11,15.8346,15.8916,15.7777,15.8821,10316900
2018-01-12,15.9675,15.9865,15.8536,15.8631,11484772
2018-01-15,16.0719,16.0814,16.0245,16.053,11279408
2018-01-16,16.1384,16.1384,16.0435,16.0719,15823364
2018-01-17,16.1669,16.2238,16.0719,16.0719,22793072
2018-01-18,16.3852,16.4327,16.2333,16.2333,27595212
2018-01-19,16.5466,16.5466,16.3947,16.3947,21208288
2018-01-22,16.6985,16.6985,16.5466,16.5466,17764244
2018-01-23,16.7649,16.7839,16.689,16.7175,23199728
2018-01-24,16.5561,16.708,16.4896,16.708,20413716
2018-01-25,16.6036,16.765,16.5466,16.5656,19934736
2018-01-26,16.6131,16.632,16.4896,16.6036,31098692
2018-01-29,16.6617,16.7786,16.5936,16.652,25783188
2018-01-30,16.467,16.6228,16.4572,16.5936,19865044
2018-01-31,16.4865,16.5546,16.3891,16.4378,17006956
2018-02-01,16.6033,16.652,16.5059,16.5059,11658156
2018-02-02,16.5352,16.5838,16.428,16.5254,12326368
2018-02-05,16.282,16.3112,16.1456,16.2041,28303608
2018-02-06,15.5127,15.7951,15.3471,15.7464,128890380
2018-02-07,15.7074,15.8535,15.6977,15.8438,40727628
2018-02-08,15.6977,15.7658,15.6393,15.7074,18058764
2018-02-09,15.3958,15.425,15.1913,15.3082,64844948
2018-02-12,15.5224,15.5614,15.464,15.4932,33775180
2018-02-21,15.873,15.9119,15.7951,15.8535,46584340
2018-02-22,15.7756,15.873,15.7269,15.873,14999640
2018-02-23,15.9704,15.9898,15.8535,15.8535,14317264
2018-02-26,16.0483,16.1262,16.0385,16.0775,13156828
2018-02-27,16.0385,16.2041,16.0385,16.1846,30654984
2018-03-01,15.9217,15.9606,15.8048,15.8827,17376880
2018-03-02,15.8048,15.8145,15.6685,15.7464,25049444
2018-03-05,15.7269,15.873,15.7074,15.7951,14895028
2018-03-06,15.9996,15.9996,15.8924,15.9022,22128816
2018-03-07,15.9314,16.058,15.9119,15.9217,10476644
2018-03-08,16.1164,16.1262,15.9996,15.9996,12930332
2018-03-09,16.1359,16.1651,16.1067,16.1456,11328256
2018-03-12,16.3891,16.4086,16.2722,16.282,35009296
2018-03-13,16.5449,16.5449,16.4183,16.428,39349740
2018-03-14,16.4183,16.4475,16.3599,16.428,13663712
2018-03-15,16.4086,16.4183,16.3404,16.3599,14027592
2018-03-16,16.3404,16.3988,16.1846,16.3599,22042684
2018-03-19,16.3307,16.3793,16.2527,16.2917,8142136
2018-03-20,16.3209,16.3209,16.2041,16.2041,11581400
2018-03-21,16.3307,16.3793,16.282,16.3209,19566108
2018-03-22,16.2722,16.4767,16.2528,16.3599,13719700
2018-03-23,15.9898,16.0483,15.9314,15.9411,32238952
2018-03-26,16.0093,16.0093,15.8924,15.9411,17476488
2018-03-27,16.243,16.243,16.1554,16.1651,13110272
2018-03-28,16.019,16.1456,16.0093,16.1456,16644768
2018-03-29,15.9898,16.0385,15.9314,16.019,16399420
2018-03-30,16.1359,16.1748,16.0969,16.0969,19976360
2018-04-02,16.019,16.1554,15.9996,16.1359,14949196
2018-04-03,15.873,15.8827,15.8145,15.873,24750092
2018-04-09,16.0093,16.0288,15.8924,15.9996,13605720
2018-04-10,16.0677,16.1359,15.9217,15.9898,15441988
2018-04-11,16.1359,16.1846,16.1164,16.1456,10414612
2018-04-12,16.0677,16.1943,16.019,16.1748,14366292
2018-04-13,16.0677,16.1262,16.0288,16.1067,11930928
2018-04-16,16.0288,16.0969,15.9704,16.0969,7236792
2018-04-17,15.8535,16.0483,15.8438,16.0483,17300160
2018-04-18,15.8924,15.9898,15.8438,15.8924,14959348
2018-04-19,16.0969,16.0969,15.9509,15.9509,17845076
2018-04-20,15.7269,15.7951,15.6782,15.7756,36070860
2018-04-23,15.5711,15.6685,15.5613,15.6295,42499120
2018-04-24,15.4932,15.5711,15.3958,15.5614,67471148
2018-04-25,15.4445,15.4445,15.3471,15.4348,65843988
2018-04-26,15.3958,15.5224,15.3471,15.5224,65943112
2018-04-27,15.425,15.5127,15.3471,15.5029,49582444
2018-04-30,15.5808,15.61,15.3958,15.5127,26067932
2018-05-02,15.464,15.61,15.464,15.5906,22053992
2018-05-03,15.2984,15.3958,15.2595,15.3958,35293736
2018-05-04,15.3763,15.3861,15.2692,15.2984,13901692
2018-05-07,15.4834,15.4932,15.3471,15.4834,15433528
2018-05-08,15.5808,15.5906,15.4542,15.464,21408464
2018-05-09,15.6685,15.6879,15.5808,15.5808,13436088
2018-05-10,15.7074,15.7172,15.6685,15.7172,23909216
2018-05-11,15.8924,15.9119,15.7853,15.7951,70617188
2018-05-14,16.0677,16.0872,15.9509,15.9703,68790744
2018-05-15,15.9022,16.0483,15.9022,16.0385,28889928
2018-05-16,15.9217,15.9314,15.8535,15.8632,33174404
2018-05-17,15.8145,15.9703,15.8145,15.9606,7763112
2018-05-18,15.7658,15.873,15.7464,15.8145,9442848
2018-05-21,15.9801,15.9898,15.8145,15.8145,15558644
2018-05-22,15.9217,16.0288,15.9217,15.9314,7349796
2018-05-23,15.8438,15.9703,15.834,15.9509,8497492
2018-05-24,15.8827,15.9119,15.8243,15.8438,4541296
2018-05-25,15.9411,15.9801,15.8535,15.8827,12462992
2018-05-28,16.0093,16.019,15.9703,15.9801,11761532
2018-05-29,15.9411,16.0093,15.873,16.0093,5554160
2018-05-30,15.6587,15.8535,15.6393,15.8535,24711276
2018-05-31,15.7269,15.7658,15.6879,15.7366,6423688
2018-06-01,15.8438,15.8632,15.7366,15.7366,7394776
2018-06-04,16.0872,16.0872,15.9314,15.9314,28324256
2018-06-05,16.0677,16.1067,16.019,16.1067,10783684
2018-06-06,16.2235,16.2333,16.0969,16.0969,25593288
2018-06-07,16.2527,16.282,16.1651,16.2625,26817272
2018-06-08,16.0775,16.2235,16.0677,16.2235,13878156
2018-06-11,16.0969,16.1554,16.0483,16.1262,13057500
2018-06-12,16.0677,16.0677,15.9606,16.019,8972896
2018-06-13,16.1651,16.1846,16.0385,16.058,18672580
2018-06-14,15.9217,16.0775,15.9217,16.0677,14257072
2018-06-15,15.9606,15.9606,15.8145,15.8924,15448488
2018-06-19,15.6977,15.8145,15.6977,15.7951,19976952
2018-06-20,15.873,15.9119,15.6393,15.7074,31467980
2018-06-21,15.8243,15.8924,15.8145,15.873,8539404
2018-06-22,15.8048,15.8145,15.649,15.7366,25929844
2018-06-25,15.7561,15.7853,15.7172,15.7464,31972724
2018-06-26,15.7172,15.7172,15.5808,15.7172,65736564
2018-06-27,15.6587,15.7561,15.6393,15.7269,33232196
2018-06-28,15.5906,15.6587,15.5419,15.5906,48256080
2018-06-29,15.8632,15.8827,15.6198,15.6393,26336852
2018-07-02,15.7853,15.9509,15.7756,15.873,16702512
2018-07-03,15.8048,15.9606,15.6977,15.834,20094748
